id,Operator
545,Deutsche Lufthansa
546,
547,Air France
548,United Air Lines
549,LATI
550,Malert Airlines
551,China National Aviation Corporation
552,Trans Continental and Western Air
553,Trans Canada Air Lines
554,Eastern Air Lines
555,Deutsche Lufthansa
556,South African Airways
557,LARES
558,Manchurian Air Lines
559,Military -Royal Air Force
560,Military - Royal Air Force
561,Panair do Brasil
562,Air France
563,British Overseas Airways
564,Pan American World Airways
565,Deutsche Lufthansa
566,Northwest Orient Airlines
567,American Airlines
568,Pan American Airways
569,Trans Continental and Western Air
570,Military - Royal Australian Air Force
571,KNILM
572,KNILM
573,Qantas
574,China National Aviation Corporation
575,British Overseas Airways
576,Qantas
577,British Overseas Airways
578,Military - U.S. Army Air Force
579,KNILM
580,Aktiebolaget Aerotransport
581,China National Aviation Corporation
582,Guinea Airways Limited
583,United Air Lines
584,Northwest Orient Airlines
585,Military - U.S. Army Air Forces
586,Military - Royal Australian Air Force
587,Military - Royal Air Force
588,Air France
589,Deutsche Lufthansa
590,KLM Royal Dutch Airlines
591,Military - Royal Air Force
592,Military - Royal Air Force
593,Air France
594,China National Aviation Corporation
595,Military - U.S. Army Air Forces
596,American Export Airlines
597,Deutsche Lufthansa
598,American Airlines / Military - USAF
599,Military - Royal Air Force
600,Western Airlines
601,DLL
602,British Overseas Airways
603,Military - U.S. Army Air Forces
604,Military - U.S. Army Air Forces
605,Pan American World Airways
606,Pan American Grace Airlines
607,British Overseas Airways
608,Private - Boeing Aircraft Company
609,Pan American World Airways
610,China National Aviation Corporation
611,China National Aviation Corporation
612,Military - Royal Australian Air Force
613,Qantas
614,British Overseas Airways
615,Military - U.S. Army Air Forces
616,Military - U.S. Army Air Forces
617,British Overseas Airways
618,British Overseas Airways
619,
620,British Overseas Airways
621,American Airlines
622,Military - U.S. Army Air Forces
623,Military - U.S. Air Force
624,China National Aviation Corporation
625,VASP
626,Military - U.S. Army Air Forces
627,Military - U.S. Army Air Forces
628,Military - U.S. Army Air Forces
629,American Airlines
630,Military - Royal Canadian Air Force
631,AB Aerotransport
632,Military - U.S. Army Air Forces
633,Military - Indian Air Force
634,China National Aviation Corporation
635,China National Aviation Corporation
636,Qantas
637,China National Aviation Corporation
638,Military - U.S. Air Force
639,Military - U.S. Army Air Forces / Military - U.S. Army Air Forces
640,Deutsche Lufthansa
641,American Airlines
642,China National Aviation Corporation
643,Deutsche Lufthansa
644,Military - U.S. Army
645,Pan American World Airways
646,Deutsche Lufthansa
647,Deutsche Lufthansa
648,Military - Royal Air Force
649,China National Aviation Corporation
650,China National Aviation Corporation
651,Military - U.S. Army Air Forces
652,Military - U.S. Army Air Forces
653,Military - U.S. Army Air Forces
654,China National Aviation Corporation
655,China National Aviation Corporation
656,Varig
